Employee Number,Age,MaritalStatus,Gender,Education,EducationField,RelationshipSatisfaction,DistanceFromHome,Games,Performance Ranking,Attendance (%),Errors per shift,TrainingTimesLastYear,Hours Worked TTM,Hours Worked  3 YR,Hours Worked 5 YR,OverTime,TTM Revenue,3 YR Revenue,5 YR Revenue,NumCompaniesWorked,TotalWorkingYears,Annual Salary,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition
1420,58,Divorced,Female,3,Technical Degree,3,1,Pai Gow,3,39,10,6,1377,1171,5885,No,76792,152974,383960,0,8,53035,10,6,6,10,9,4,2,Yes
1421,47,Divorced,Female,2,Technical Degree,3,48,Pai Gow,4,80,10,7,2186,2071,5081,No,41442,149895,207210,7,26,36499,7,24,4,3,0,4,4,Yes
1422,23,Divorced,Female,3,Technical Degree,3,18,Pai Gow,3,63,8,3,2181,1706,3982,No,56285,159812,281425,6,17,77093,4,16,12,7,5,3,3,Yes
1423,43,Divorced,Female,1,Technical Degree,5,11,Pai Gow,4,45,9,2,2356,1404,4891,No,47363,151890,236815,6,10,80006,10,7,15,4,0,2,2,Yes
1424,40,Divorced,Female,3,Technical Degree,1,49,Pai Gow,4,81,1,3,1169,2547,5836,No,58395,169769,291975,5,19,59453,5,26,15,6,7,2,3,Yes
1425,46,Divorced,Female,3,Technical Degree,1,43,Pai Gow,2,64,6,3,2616,2894,3351,No,43348,151796,216740,0,5,37143,6,22,13,0,1,3,4,Yes
1426,52,Divorced,Male,1,Technical Degree,3,40,Pai Gow,2,82,10,7,1103,2389,5559,No,70916,141832,141832,4,25,31123,5,2,5,6,3,2,2,Yes
1427,48,Divorced,Male,1,Technical Degree,4,2,Pai Gow,4,31,8,9,2713,2152,3877,No,71725,158969,286900,6,25,53315,3,4,3,7,8,4,1,Yes
1428,48,Divorced,Male,2,Technical Degree,3,36,Pai Gow,2,25,3,5,2488,2368,5391,No,64464,157005,257856,7,14,60809,1,4,10,0,7,2,4,Yes
1429,30,Divorced,Male,2,Technical Degree,5,32,Pai Gow,3,75,4,7,1868,2073,4588,No,66354,142587,331770,1,22,66458,3,8,12,1,4,3,2,Yes
1430,53,Divorced,Male,2,Technical Degree,3,24,Pai Gow,4,57,3,3,1128,1300,5410,No,71755,144737,358775,6,5,31007,1,19,10,4,8,3,1,Yes
1431,65,Divorced,Male,3,Technical Degree,1,35,Pai Gow,1,50,2,3,2508,1385,5359,No,71221,142620,356105,4,12,82222,9,18,0,9,10,2,4,Yes
1432,43,Divorced,Male,4,Technical Degree,2,15,Pai Gow,4,45,7,7,1925,2344,4170,No,77141,141548,385705,3,14,65128,7,5,6,1,4,1,2,Yes
1433,31,Divorced,Male,3,Technical Degree,4,33,Pai Gow,4,76,8,8,2978,1993,3458,No,43109,167959,215545,4,2,46036,10,25,2,3,0,3,3,Yes
1434,57,Divorced,Male,3,Technical Degree,2,37,Pai Gow,2,42,7,9,2743,1494,4026,No,78019,156038,156038,7,6,52988,8,2,6,10,9,4,4,Yes
1435,30,Divorced,Male,4,Technical Degree,5,30,Pai Gow,1,99,1,4,2590,2408,4578,No,66280,153988,331400,7,9,52064,3,20,0,10,8,1,3,Yes
1436,46,Divorced,Male,4,Technical Degree,2,38,Pai Gow,4,54,4,2,2748,1323,6156,No,77482,150537,387410,1,6,71334,4,24,7,1,10,3,2,Yes
1437,41,Divorced,Male,2,Technical Degree,4,3,Pai Gow,1,86,6,7,2345,2936,3571,No,76504,155905,382520,0,11,83363,9,12,1,0,5,3,4,Yes
1438,38,Divorced,Male,4,Technical Degree,5,5,Pai Gow,1,88,2,9,1188,1865,3884,No,79788,140315,398940,2,19,26004,7,25,10,6,9,1,1,Yes
1439,34,Divorced,Male,2,Technical Degree,3,4,Pai Gow,3,46,7,0,1740,2200,5668,No,45652,144584,228260,0,3,69527,3,17,6,1,5,3,3,Yes
1440,54,Divorced,Male,2,Technical Degree,5,39,Pai Gow,4,39,2,5,1953,1671,6025,No,66961,66961,66961,5,7,57108,10,1,8,8,4,1,4,Yes
1441,30,Divorced,Male,2,Technical Degree,4,48,Pai Gow,1,75,3,5,1552,2637,4140,No,67246,167318,336230,3,1,67543,4,11,6,7,9,1,2,Yes
1442,58,Divorced,Male,4,Technical Degree,3,11,Pai Gow,2,46,6,0,1192,2300,6155,No,69214,152050,346070,6,11,60691,2,23,10,10,7,2,2,Yes
1443,54,Divorced,Male,3,Technical Degree,2,13,Pai Gow,2,96,3,0,2963,1566,5357,No,69119,145991,276476,3,9,31025,10,4,15,8,9,4,2,Yes
1444,34,Divorced,Male,1,Technical Degree,5,11,Pai Gow,2,86,1,6,2947,1104,4365,No,67030,145877,335150,7,8,35244,2,13,14,6,2,2,1,Yes
1445,61,Divorced,Male,4,Technical Degree,2,25,Pai Gow,3,78,2,10,2822,2425,3861,No,58149,170748,290745,3,7,67107,7,24,7,7,5,2,2,Yes
1446,37,Divorced,Male,4,Technical Degree,2,44,Pai Gow,3,50,7,8,2581,2741,5543,No,55082,165746,275410,5,1,43165,8,26,15,3,4,4,2,Yes
1447,51,Divorced,Male,3,Technical Degree,5,48,Pai Gow,4,89,2,9,2239,1412,3879,No,54079,142995,270395,3,16,40369,8,26,12,3,4,4,3,Yes
1448,57,Divorced,Male,4,Technical Degree,2,34,Pai Gow,2,81,7,6,2181,2086,5294,No,42439,158455,212195,7,1,55950,1,24,1,0,5,3,1,Yes
1449,58,Divorced,Male,4,Technical Degree,3,42,Pai Gow,2,79,10,1,2328,1248,3972,No,63405,161009,317025,6,21,48026,2,13,5,1,6,1,1,Yes
1450,54,Divorced,Male,3,Technical Degree,3,25,Pai Gow,4,67,4,8,2437,1953,5989,No,48208,163069,241040,4,15,81806,1,11,3,5,2,2,4,Yes
1451,49,Divorced,Male,2,Technical Degree,3,4,Pai Gow,3,59,2,3,1627,1073,3972,No,67053,165129,335265,7,22,67133,2,21,13,9,2,1,1,Yes
1452,30,Divorced,Male,4,Technical Degree,1,38,Pai Gow,3,59,7,5,2238,1555,4974,No,44756,170168,223780,0,13,31956,6,8,15,6,1,1,2,Yes
1453,50,Divorced,Male,1,Technical Degree,5,35,Pai Gow,3,28,5,8,2478,1547,4133,No,74485,158170,372425,7,19,51269,3,7,15,5,10,3,2,Yes
1454,55,Divorced,Male,1,Technical Degree,1,27,Pai Gow,1,56,3,5,1444,1378,5456,No,49752,150397,248760,4,14,31515,1,7,10,5,9,3,2,Yes
1455,61,Divorced,Male,4,Technical Degree,3,32,Pai Gow,4,44,4,9,2372,1640,3128,No,45558,144262,182232,2,20,32681,5,4,6,0,3,2,4,Yes
1456,27,Divorced,Male,3,Technical Degree,2,3,Pai Gow,3,75,9,9,1395,2679,4908,No,57008,164455,171024,7,12,78984,4,3,13,8,3,1,2,Yes
1457,51,Divorced,Male,1,Technical Degree,2,22,Pai Gow,2,61,5,8,1924,2520,5447,No,68403,136806,136806,1,3,31811,2,2,6,6,0,2,2,Yes
1458,60,Divorced,Male,2,Technical Degree,3,43,Pai Gow,2,30,5,9,2994,1315,3367,No,66573,166244,332865,5,9,59081,3,8,13,10,8,2,4,Yes
1459,41,Divorced,Male,4,Technical Degree,2,22,Pai Gow,4,59,6,7,1536,1861,5335,No,68164,169928,272656,2,5,74918,7,4,9,4,6,1,2,Yes
1460,64,Divorced,Male,4,Technical Degree,5,46,Pai Gow,3,53,5,10,1761,2057,4269,No,63793,154634,318965,5,13,60739,5,12,3,3,3,2,3,Yes
1461,24,Divorced,Male,3,Technical Degree,3,23,Pai Gow,4,93,5,6,1120,1078,3124,No,61144,141842,305720,4,22,38670,8,11,5,3,7,1,1,Yes
1462,30,Divorced,Male,3,Technical Degree,3,39,Pai Gow,2,63,5,0,1681,2336,4099,No,50452,157293,252260,2,2,67145,6,25,1,7,4,1,4,Yes
1463,32,Divorced,Male,4,Technical Degree,5,49,Pai Gow,4,45,5,1,2509,2656,5964,No,79179,162490,395895,2,23,81967,8,14,2,3,10,1,3,Yes
1464,62,Divorced,Male,3,Technical Degree,1,50,Pai Gow,3,94,9,9,2296,1834,5117,No,57583,140877,287915,2,8,36543,1,13,9,10,6,4,4,Yes
1465,58,Divorced,Male,3,Technical Degree,2,16,Pai Gow,3,80,1,4,1883,1754,5585,No,70113,164078,350565,5,4,67057,9,22,0,0,0,4,2,Yes
1466,60,Divorced,Male,3,Technical Degree,1,34,Pai Gow,1,55,8,6,1120,1294,5912,No,61785,165426,308925,5,13,27441,1,21,14,2,6,4,2,Yes
1467,53,Divorced,Male,4,Technical Degree,5,11,Pai Gow,1,59,1,10,1949,2122,5063,No,51458,102916,102916,6,5,46588,1,2,7,0,10,1,3,Yes
1468,35,Divorced,Male,3,Technical Degree,5,26,Let it Ride,4,95,2,1,2942,2181,5787,No,47280,165069,236400,5,6,43676,9,18,1,4,1,3,3,Yes
1469,27,Divorced,Male,3,Technical Degree,1,21,Let it Ride,1,69,6,9,1168,1263,4119,No,68665,165721,343325,4,16,29683,9,21,13,4,3,2,4,Yes
1470,60,Divorced,Male,2,Technical Degree,4,48,Let it Ride,3,58,10,5,2643,1722,4555,No,71384,140881,356920,3,6,46218,8,11,0,1,3,4,1,Yes
1471,35,Divorced,Male,4,Technical Degree,2,47,Let it Ride,1,62,4,0,1026,2298,3940,No,75741,150844,227223,2,21,78306,4,3,9,4,10,4,3,Yes
1472,64,Divorced,Male,1,Technical Degree,4,28,Let it Ride,2,79,6,5,2231,2539,4271,No,68799,163636,343995,0,23,47834,2,18,2,1,9,1,1,Yes
1473,47,Divorced,Male,1,Technical Degree,3,22,Let it Ride,4,38,6,6,1938,2912,3549,No,50962,148082,254810,7,15,57433,4,25,8,8,9,1,3,Yes
1474,29,Divorced,Male,2,Technical Degree,2,45,Let it Ride,4,28,10,2,2379,2319,3724,No,67401,153269,337005,1,12,35562,10,11,12,7,4,4,2,Yes
1475,35,Divorced,Male,3,Technical Degree,3,20,Let it Ride,2,91,10,6,2684,2326,3314,No,68833,144612,344165,0,19,43880,5,12,1,1,9,2,3,Yes
1476,51,Divorced,Male,4,Technical Degree,1,38,Let it Ride,3,53,2,3,1505,1894,3182,No,63755,159677,318775,3,14,66906,3,15,3,4,9,3,3,Yes
1477,39,Divorced,Male,1,Technical Degree,2,23,Let it Ride,2,31,4,8,1142,2293,5425,No,59927,154668,299635,7,21,71791,3,7,1,9,5,1,4,Yes
1478,53,Divorced,Male,4,Technical Degree,1,36,Let it Ride,4,54,1,2,1261,2458,3463,No,72208,72208,72208,2,13,58160,3,1,12,7,1,2,4,Yes
1479,28,Divorced,Male,4,Technical Degree,5,39,Let it Ride,4,32,4,3,1523,1172,5717,No,45512,167984,136536,2,16,50494,10,3,13,9,9,4,1,Yes
1480,45,Divorced,Male,3,Technical Degree,1,5,Let it Ride,1,58,8,10,2571,1471,5662,No,53119,164521,265595,5,3,81443,7,21,11,4,8,1,2,Yes
1481,63,Divorced,Male,1,Technical Degree,3,36,Let it Ride,3,91,9,4,2480,1139,3127,No,68576,148717,342880,6,25,35333,5,12,10,5,6,1,2,Yes
1482,49,Divorced,Male,4,Technical Degree,3,30,Let it Ride,4,87,2,10,2483,2293,5123,No,73670,149830,221010,7,11,56490,5,3,5,5,4,4,1,Yes
1483,64,Divorced,Male,2,Technical Degree,1,15,Let it Ride,2,43,1,6,2825,2630,5306,No,65219,149577,326095,3,5,70477,5,26,10,2,1,4,2,Yes
1484,28,Divorced,Male,2,Technical Degree,3,32,Let it Ride,2,41,6,0,2603,2264,3530,No,46039,162418,230195,1,21,49938,6,20,15,10,2,4,2,Yes
1485,40,Divorced,Male,3,Technical Degree,5,16,Let it Ride,2,50,3,9,1907,2529,6026,No,45325,170557,226625,7,20,49580,3,14,11,8,3,2,4,Yes
1486,55,Divorced,Male,4,Technical Degree,5,31,Let it Ride,2,100,8,2,1682,2784,3179,No,56103,144456,280515,4,7,45049,6,21,6,6,2,1,2,Yes
1487,39,Divorced,Male,1,Technical Degree,1,39,Let it Ride,2,96,7,0,1471,2450,4088,No,40368,169654,201840,5,2,27184,1,20,1,4,6,4,2,Yes
1488,40,Divorced,Male,4,Technical Degree,2,50,Let it Ride,3,42,1,8,2458,1902,3971,No,76068,159626,380340,4,15,58261,1,7,6,3,8,4,3,Yes
1489,29,Divorced,Male,4,Technical Degree,1,9,Let it Ride,3,77,4,10,1767,1620,5113,No,54015,160010,270075,1,14,35633,6,25,7,9,3,1,4,Yes
1490,58,Divorced,Male,2,Technical Degree,3,29,Let it Ride,2,66,10,5,1710,2122,4382,No,43945,148158,219725,6,8,63822,3,6,2,6,3,2,1,Yes
1491,31,Divorced,Male,1,Technical Degree,4,9,Let it Ride,4,74,5,1,1656,1173,4325,No,49378,159030,246890,6,21,35792,5,8,15,2,10,2,4,Yes
1492,30,Divorced,Male,2,Technical Degree,3,20,Let it Ride,3,99,5,4,1494,2556,5867,No,53916,165205,269580,0,5,32252,8,19,9,8,1,4,4,Yes
1493,49,Divorced,Male,2,Technical Degree,1,36,Let it Ride,4,87,8,1,2301,2059,4628,No,77413,77413,77413,0,19,34902,8,1,1,3,2,2,4,Yes
1494,61,Divorced,Male,1,Technical Degree,5,27,Let it Ride,3,83,10,9,2435,1228,5767,No,45644,154166,136932,2,17,32513,10,3,5,10,0,3,3,Yes
1495,62,Divorced,Male,1,Technical Degree,2,41,Let it Ride,2,74,2,7,1523,2636,3977,No,69067,164017,345335,2,1,83096,9,7,7,7,9,3,2,Yes
1496,51,Divorced,Male,3,Technical Degree,2,24,Let it Ride,2,29,6,4,2901,1351,6173,No,54858,150704,274290,7,11,79435,5,20,11,4,9,3,1,Yes
1497,31,Divorced,Male,3,Technical Degree,1,45,Black Jack,4,93,2,4,1764,2654,3936,No,44165,157645,220825,7,4,54556,6,11,10,2,9,2,2,No
1498,29,Divorced,Male,4,Technical Degree,3,47,Black Jack,3,57,5,10,2845,2617,3985,No,42537,165372,212685,2,22,38743,7,12,12,0,1,1,3,No
1499,33,Divorced,Male,4,Technical Degree,5,4,Black Jack,4,27,9,0,1731,1974,3260,No,70666,151236,353330,6,8,77130,6,23,6,3,6,3,4,No
1500,56,Divorced,Male,1,Technical Degree,5,15,Black Jack,1,49,8,10,1209,2155,3962,No,74748,164552,373740,0,14,75677,4,7,6,1,9,1,3,No
1501,44,Divorced,Male,1,Technical Degree,1,15,Black Jack,2,33,5,2,1142,1682,4036,No,42983,147255,214915,4,7,66260,6,16,10,6,2,3,1,No
1502,43,Divorced,Male,2,Technical Degree,1,30,Black Jack,1,28,2,2,2400,2191,5474,No,56484,138251,282420,1,25,81281,8,13,1,10,7,4,2,No
1503,52,Divorced,Male,4,Technical Degree,3,30,Black Jack,2,58,6,5,1803,1696,6148,No,77168,146796,385840,0,0,56153,1,14,7,8,5,3,4,No
1504,25,Divorced,Male,1,Technical Degree,4,34,Black Jack,2,54,2,8,2105,1294,5657,No,45107,45107,45107,2,10,58447,6,1,6,6,2,4,1,No
1505,44,Divorced,Male,4,Technical Degree,4,6,Black Jack,2,92,8,8,2074,2393,4814,No,75140,145340,375700,6,17,74087,5,14,3,2,8,3,2,No
1506,34,Divorced,Male,2,Technical Degree,1,47,Black Jack,2,39,7,1,1914,2498,3583,No,46546,165235,232730,1,23,48436,9,26,5,5,0,1,3,No
1507,62,Divorced,Male,4,Technical Degree,1,34,Black Jack,3,59,4,0,2609,2492,4931,No,47986,47986,47986,1,25,43447,5,1,10,3,9,3,4,No
1508,25,Divorced,Male,2,Technical Degree,1,24,Black Jack,4,74,1,10,2257,2107,6184,No,42067,159307,210335,6,7,49677,5,6,7,9,6,3,3,No
1509,63,Divorced,Male,2,Technical Degree,3,30,Black Jack,4,53,8,2,1763,1174,4449,No,40145,148357,200725,5,7,41311,2,17,12,8,3,2,1,No
1510,25,Divorced,Male,1,Technical Degree,5,14,Black Jack,4,28,9,8,2802,2764,3933,No,66663,141249,333315,2,15,79030,5,6,5,2,6,2,4,No
1511,37,Divorced,Male,4,Technical Degree,5,36,Black Jack,3,25,10,4,1185,2064,4855,No,56075,165577,280375,3,3,71969,8,25,12,2,3,1,2,No
1512,40,Divorced,Male,3,Technical Degree,3,43,Black Jack,3,88,2,8,2246,1394,4174,No,65750,159007,328750,6,13,51172,9,11,1,6,9,2,4,No
1513,26,Divorced,Male,3,Technical Degree,1,44,Black Jack,3,81,8,4,1737,1437,5698,No,79958,144009,399790,4,1,28220,3,24,0,4,0,1,2,No
1514,28,Divorced,Male,3,Technical Degree,1,28,Black Jack,1,39,4,3,1696,1336,4633,No,41930,156546,209650,3,3,75282,8,20,3,10,5,2,1,No
1515,28,Divorced,Male,3,Technical Degree,5,23,Black Jack,2,77,2,6,2078,2753,5370,No,46227,149420,231135,1,22,47369,4,11,12,8,7,1,3,No
1516,64,Divorced,Male,4,Technical Degree,5,26,Black Jack,2,80,2,0,1744,2587,5819,No,70127,138841,350635,1,0,77096,4,23,1,4,2,2,2,No
1517,44,Divorced,Male,2,Technical Degree,4,46,Black Jack,3,67,1,4,2259,1309,6066,No,43007,145208,215035,6,11,43336,5,7,12,3,5,2,1,No
1518,64,Divorced,Male,4,Technical Degree,2,20,Black Jack,4,84,8,8,2476,1426,4834,No,42450,42450,42450,5,24,37659,5,1,0,0,3,3,3,No
1519,31,Divorced,Male,2,Technical Degree,4,49,Black Jack,1,99,2,3,2678,2158,5677,No,65083,160916,325415,1,11,77461,7,21,4,5,1,3,4,No
1520,27,Divorced,Male,4,Technical Degree,1,41,Black Jack,2,89,3,2,1123,2825,3471,No,65076,142551,325380,6,19,49899,2,5,2,10,10,3,3,No
1521,49,Divorced,Male,4,Technical Degree,3,18,Black Jack,3,38,7,9,1792,2296,4947,No,75711,144091,378555,7,20,34858,10,22,4,5,1,1,4,No
1522,47,Divorced,Male,2,Technical Degree,4,23,Black Jack,1,53,1,3,2958,2681,5469,No,59032,154556,295160,3,14,37432,8,18,15,10,10,1,4,No
1523,51,Divorced,Male,3,Technical Degree,3,29,Black Jack,1,26,3,0,1187,2602,4954,No,51089,144261,204356,0,18,45896,6,4,15,3,4,1,4,No
1524,55,Divorced,Male,4,Technical Degree,5,11,Black Jack,2,76,6,7,2719,2839,3688,No,50114,100228,100228,1,20,37600,4,2,1,0,7,2,4,No
1525,57,Divorced,Male,4,Technical Degree,1,17,Black Jack,2,46,10,1,1777,2046,4558,No,64295,157200,321475,0,11,81695,2,22,6,3,10,3,2,No
1526,56,Divorced,Male,3,Technical Degree,2,33,Black Jack,4,93,4,3,2808,2116,5387,No,62846,161564,314230,0,11,41909,5,23,9,9,5,4,1,No
1527,63,Divorced,Male,1,Technical Degree,4,18,Black Jack,4,40,8,7,1507,1642,4199,No,69632,141910,348160,4,1,76282,4,19,4,10,0,2,4,No
1528,55,Divorced,Male,3,Technical Degree,4,18,Black Jack,4,54,3,4,2140,1334,3537,No,77862,158613,233586,1,6,28308,9,3,7,3,5,3,1,No
1529,42,Divorced,Male,4,Technical Degree,1,33,Black Jack,4,86,1,3,1344,1570,6199,No,53199,143273,265995,1,12,42492,10,6,5,5,4,4,3,No
1530,59,Divorced,Male,2,Technical Degree,4,33,Black Jack,2,84,8,9,1465,2037,4051,No,67601,144503,270404,3,25,26961,2,4,12,8,7,2,3,No
1531,38,Divorced,Male,4,Technical Degree,4,28,Black Jack,4,38,1,6,1811,2491,4225,No,61399,157834,306995,7,3,57144,1,22,9,9,8,4,1,No
1532,44,Divorced,Male,1,Technical Degree,4,35,Black Jack,1,88,8,1,2656,2022,3208,No,53401,146236,267005,5,5,38797,8,17,10,7,1,4,1,No
1533,25,Divorced,Male,4,Technical Degree,1,48,Black Jack,1,84,8,3,2658,1795,4019,No,63121,141365,315605,5,25,80061,2,21,11,8,0,1,1,No
1534,41,Divorced,Male,3,Technical Degree,5,42,Black Jack,2,77,1,10,1088,1535,5583,No,59725,151271,298625,4,24,58457,7,9,14,7,10,2,1,No
1535,42,Divorced,Male,1,Technical Degree,3,3,Black Jack,4,95,10,1,1712,2195,5060,No,62359,146363,311795,1,11,49537,8,8,5,2,2,3,4,No
1536,27,Divorced,Male,1,Technical Degree,1,29,Black Jack,4,55,9,6,2456,1175,5523,No,56737,169608,283685,4,0,29116,7,7,0,0,3,2,1,No
1537,45,Divorced,Male,2,Technical Degree,1,3,Black Jack,3,93,3,7,2910,1924,3981,No,67186,159544,335930,7,0,72221,4,9,9,0,8,1,3,No
1538,32,Divorced,Male,2,Technical Degree,3,33,Black Jack,3,95,8,8,1914,2525,5924,No,55094,142740,275470,0,20,77503,8,19,2,9,10,3,2,No
1539,35,Divorced,Male,1,Technical Degree,3,21,Black Jack,4,61,5,2,1420,1794,3222,No,42840,150754,214200,4,7,83817,5,17,5,8,5,3,4,No
1540,44,Divorced,Male,2,Technical Degree,4,3,Black Jack,3,71,3,0,2408,2391,3340,No,63280,138087,253120,5,16,72304,6,4,15,10,1,1,1,No
1541,27,Divorced,Male,1,Technical Degree,5,39,Black Jack,2,33,6,2,2102,2328,3302,No,56881,170001,284405,6,26,29963,9,7,8,9,8,1,3,No
1542,38,Divorced,Male,1,Technical Degree,4,3,Black Jack,2,75,5,10,1420,1174,3766,No,42686,149965,213430,0,21,80439,10,10,15,1,7,2,1,No
1543,25,Divorced,Male,3,Technical Degree,1,48,Black Jack,4,65,4,9,2696,2872,5757,No,68243,157965,272972,7,24,57326,2,4,3,4,8,3,3,No
1544,36,Divorced,Male,4,Technical Degree,3,14,Black Jack,2,55,3,9,1701,1276,4405,No,48984,162971,244920,1,21,79333,8,15,9,7,2,3,4,No
1545,55,Divorced,Male,4,Technical Degree,4,30,Black Jack,3,28,2,1,1521,1992,4120,No,67585,156668,337925,5,17,79852,4,5,4,8,3,4,2,No
1546,59,Divorced,Male,1,Technical Degree,2,3,Black Jack,2,38,2,2,2360,2677,6003,No,68844,162398,344220,2,14,49892,1,26,7,9,5,4,4,No
1547,40,Divorced,Male,1,Technical Degree,4,50,Black Jack,4,67,10,6,2460,2303,4006,No,66860,151172,334300,1,26,54423,10,20,3,0,4,4,1,No
1548,37,Divorced,Male,3,Technical Degree,2,50,Black Jack,4,82,4,6,1649,2389,6212,No,76158,145680,380790,4,0,51837,8,13,2,10,2,1,1,No
1549,36,Divorced,Male,2,Technical Degree,5,27,Black Jack,1,98,6,1,2264,2832,6193,No,74397,150852,371985,2,13,49966,1,18,13,3,5,3,3,No
1550,46,Divorced,Male,1,Technical Degree,1,21,Black Jack,1,90,8,5,1743,1390,3530,No,78734,159612,393670,7,17,31689,1,23,0,9,9,1,3,No
1551,43,Divorced,Male,4,Technical Degree,2,19,Black Jack,3,54,10,7,1924,1542,3795,No,54960,54960,54960,7,17,72741,2,1,10,7,8,4,4,No
1552,65,Divorced,Male,2,Technical Degree,1,16,Black Jack,4,72,9,5,1507,2165,3716,No,45571,164644,227855,4,5,36874,9,7,14,5,5,3,1,No
1553,55,Divorced,Male,2,Technical Degree,3,42,Black Jack,2,85,9,2,2780,2855,3977,No,67566,150875,337830,1,8,41953,2,10,8,3,2,1,1,No
1554,46,Divorced,Male,4,Technical Degree,4,19,Black Jack,2,49,9,0,2495,2386,5498,No,44937,150233,224685,4,19,52120,4,10,11,4,10,3,1,No
1555,29,Divorced,Male,4,Technical Degree,3,10,Black Jack,3,44,4,9,1969,2835,4970,No,48629,168881,145887,1,7,70450,2,3,11,10,6,2,4,No
1556,63,Divorced,Male,3,Technical Degree,4,34,Black Jack,1,76,1,5,1044,1634,6134,No,63451,142044,317255,5,20,78197,7,9,5,4,0,3,3,No
1557,23,Divorced,Male,1,Technical Degree,1,39,Black Jack,1,37,1,9,2437,1671,3328,No,67483,141895,337415,1,21,33947,7,26,12,2,1,4,4,No
1558,37,Divorced,Male,1,Technical Degree,2,20,Black Jack,3,74,3,5,1412,1628,6109,No,78510,148163,392550,4,15,60585,3,24,2,4,10,4,2,No
1559,26,Divorced,Male,4,Technical Degree,4,37,Black Jack,2,33,5,0,2271,1351,4136,No,48440,150577,242200,6,26,49934,5,7,1,8,6,4,2,No
1560,27,Divorced,Male,1,Technical Degree,5,2,Black Jack,2,58,3,1,1884,1412,4991,No,55643,138325,278215,2,0,26502,5,26,12,2,3,1,1,No
1561,61,Divorced,Male,4,Technical Degree,5,8,Black Jack,4,67,3,9,1921,2147,3248,No,52907,155757,264535,7,25,40162,3,18,10,7,3,3,4,No
1562,46,Divorced,Male,2,Technical Degree,3,30,Black Jack,1,36,7,1,1284,1229,5012,No,65412,149758,327060,1,3,43999,7,25,11,4,1,3,2,No
1563,62,Divorced,Male,2,Technical Degree,2,6,Black Jack,2,49,3,10,1914,2777,4951,No,71254,158162,356270,2,11,52072,9,15,7,2,3,4,4,No
1564,35,Divorced,Male,2,Technical Degree,4,29,Black Jack,2,28,5,5,2557,2342,4529,No,57279,147758,286395,5,20,73791,2,9,5,3,7,3,1,No
1565,25,Divorced,Male,3,Technical Degree,5,31,Black Jack,3,35,8,3,2665,2291,3527,No,53005,162020,265025,6,11,81197,5,16,1,5,5,1,3,No
1566,32,Divorced,Male,4,Technical Degree,1,47,Black Jack,4,71,8,3,1296,1131,3370,No,67875,169142,339375,1,21,48151,7,11,7,0,10,1,1,No
1567,24,Divorced,Male,1,Technical Degree,3,11,Black Jack,3,100,9,10,1498,2404,4153,No,57749,169114,288745,2,1,51633,4,24,4,0,3,4,2,No
1568,34,Divorced,Male,4,Technical Degree,3,25,Black Jack,4,81,4,4,1903,2877,5634,No,66729,154891,333645,2,21,31986,1,25,7,7,7,2,4,No
1569,44,Divorced,Male,2,Technical Degree,3,23,Black Jack,3,87,3,1,1041,1941,4623,No,59726,142086,298630,0,18,39875,7,26,0,2,0,1,2,No
1570,59,Divorced,Male,2,Technical Degree,4,9,Black Jack,1,38,5,10,1423,1861,3870,No,78812,165232,394060,7,6,60707,5,17,11,7,1,1,3,No
1571,31,Divorced,Male,3,Technical Degree,3,4,Black Jack,4,86,4,0,1007,2475,3218,No,60516,150122,302580,3,15,45323,7,26,14,3,5,4,4,No
1572,23,Divorced,Male,2,Technical Degree,5,43,Black Jack,2,34,4,7,1606,1220,3864,No,40282,146930,201410,1,6,69236,7,22,2,3,6,1,3,No
1573,37,Divorced,Male,1,Technical Degree,4,1,Black Jack,1,94,6,5,2666,1033,5476,No,51905,141354,207620,3,12,55696,9,4,9,8,0,3,2,No
1574,24,Divorced,Male,2,Technical Degree,3,1,Black Jack,2,49,2,2,2953,2928,5399,No,61448,145242,245792,2,23,67845,5,4,0,8,8,3,2,No
1575,48,Divorced,Male,2,Technical Degree,2,48,Black Jack,3,55,3,10,2626,2296,6145,No,57392,154985,229568,5,4,41292,1,4,10,3,3,1,3,No
1576,27,Divorced,Male,3,Technical Degree,3,39,Black Jack,2,72,4,0,1326,2974,3972,No,51741,158747,258705,5,4,34192,10,13,1,10,9,2,4,No
1577,50,Divorced,Male,3,Technical Degree,1,48,Black Jack,2,46,3,6,1618,1906,3133,No,66732,144956,333660,4,13,64139,3,24,8,6,9,1,1,No
1578,47,Divorced,Male,1,Technical Degree,2,50,Black Jack,1,96,3,10,1394,2651,3403,No,40466,158931,202330,6,4,68259,10,16,0,1,5,2,3,No
1579,41,Divorced,Male,2,Technical Degree,3,9,Black Jack,2,77,4,5,1729,1405,5515,No,49472,165189,247360,5,8,81046,10,11,1,0,6,1,3,No
1580,35,Divorced,Male,4,Technical Degree,2,24,Black Jack,4,30,7,9,2400,2759,3368,No,53097,167001,265485,3,25,27641,10,15,4,2,9,4,2,No
1581,54,Divorced,Male,1,Technical Degree,3,1,Black Jack,1,93,5,4,2278,1630,4869,No,62018,149177,310090,2,6,51216,4,13,9,8,9,3,3,No
