# OF EMPLOYEES,Age,MaritalStatus,Gender,Education,EducationField,RelationshipSatisfaction,DistanceFromHome,Games,Performance Ranking,Attendance (%),Errors per shift,TrainingTimesLastYear,Hours Worked TTM,Hours Worked  3 YR,Hours Worked 5 YR,OverTime,TTM Revenue,3 YR Revenue,5 YR Revenue,NumCompaniesWorked,TotalWorkingYears,Annual Salary,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition,Risk,Profit,riskNorm,profitNorm,R-Score
1877,61,Divorced,Male,2,Technical Degree,1,48,Black Jack,4,97,6,8,1716,1486,5395,No,111342,255170,556710,5,1,71852,4,14,5,2,3,4,1,No,0.584513695,39490,0.585013389,0.322664989,0.188763339
1878,59,Divorced,Male,1,Technical Degree,1,44,Black Jack,3,60,8,4,1565,2109,5627,No,89527,281118,447635,1,5,56774,8,13,11,6,1,1,3,No,0.362617238,32753,0.362927235,0.267618293,0.097125967
1879,64,Divorced,Male,2,Technical Degree,3,19,Black Jack,2,93,6,9,2380,2340,4225,No,135708,290244,542832,0,8,63918,5,4,12,3,3,3,3,No,0.416806992,71790,0.417163316,0.586581908,0.244700454
1880,43,Divorced,Male,1,Technical Degree,1,15,Black Jack,4,100,8,0,2247,2472,4682,No,112739,269972,563695,0,7,27878,5,20,10,3,4,2,1,No,0.387302476,84861,0.387633576,0.693382467,0.268778325
1881,27,Divorced,Male,3,Technical Degree,5,2,Black Jack,2,65,7,2,2229,2330,3508,No,110792,311605,553960,4,21,43762,8,13,1,5,5,2,1,No,0.157544077,67030,0.15767876,0.547688889,0.086358905
1882,28,Divorced,Male,3,Technical Degree,1,32,Black Jack,4,33,9,1,2284,2674,3858,No,123845,348107,619225,0,25,54102,6,8,5,3,4,2,3,No,0.032293736,69743,0.032321344,0.569856276,0.018418521
1883,55,Divorced,Male,2,Technical Degree,2,36,Black Jack,3,42,10,4,2431,2570,5589,No,106965,277896,534825,7,8,56033,4,15,7,3,4,1,3,No,0.742947651,50932,0.743582788,0.416155311,0.309445926
1884,61,Divorced,Male,3,Technical Degree,1,40,Black Jack,3,49,10,1,1398,1423,3878,No,122792,232088,613960,4,24,75920,2,26,11,10,3,2,1,No,0.617070591,46872,0.617598117,0.382981853,0.236528871
1885,41,Divorced,Male,3,Technical Degree,3,31,Black Jack,4,79,7,0,2693,1325,4012,No,116078,210181,580390,4,7,70793,10,16,10,7,0,1,2,No,0.551874972,45285,0.552346764,0.370014789,0.204376471
1886,53,Divorced,Male,4,Technical Degree,2,38,Black Jack,3,26,9,5,2080,1904,4691,No,148739,307090,743695,6,22,72812,3,13,4,3,8,1,2,No,0.082435648,75927,0.082506122,0.620384518,0.05118552
1887,34,Divorced,Male,3,Technical Degree,3,47,Black Jack,2,77,9,4,2810,2836,5490,No,142957,266386,714785,3,14,38475,1,21,14,1,0,3,3,No,0.767596941,104482,0.768253151,0.853701782,0.655859084
1888,33,Divorced,Male,4,Technical Degree,3,45,Black Jack,3,45,4,3,2051,1020,5201,No,126711,202222,633555,5,15,65142,1,25,10,8,9,1,2,No,0.977313163,61569,0.978148656,0.503068136,0.492075422
1889,57,Divorced,Male,4,Technical Degree,4,20,Black Jack,1,29,7,1,2167,1535,4979,No,84506,300002,422530,5,15,62193,6,20,15,6,9,2,3,No,0.050700726,22313,0.050744069,0.182315115,0.009251411
1890,35,Divorced,Male,3,Technical Degree,4,2,Black Jack,1,82,5,6,1953,1690,4051,No,138876,209620,694380,5,9,54392,10,22,13,10,8,4,4,No,0.373823293,84484,0.37414287,0.690302075,0.2582716
1891,35,Divorced,Male,4,Technical Degree,4,3,Black Jack,4,60,3,10,2525,2018,4712,No,141016,225220,705080,2,6,73304,5,8,12,5,9,2,4,No,0.854846145,67712,0.855576943,0.553261376,0.473357677
1892,34,Divorced,Male,3,Technical Degree,1,42,Black Jack,2,51,8,9,2192,2552,4291,No,84492,277877,422460,3,19,58633,2,5,6,6,4,3,1,No,0.327718976,25859,0.327999139,0.211288781,0.069302538
1893,42,Divorced,Male,3,Technical Degree,2,29,Black Jack,3,51,7,0,2844,2943,6188,No,84690,253165,423450,7,11,59124,10,21,15,10,2,3,2,No,0.040596269,25566,0.040630974,0.208894736,0.008487597
1894,64,Divorced,Male,1,Technical Degree,2,28,Black Jack,2,63,8,2,2457,1551,4777,No,109674,230503,548370,0,1,62520,10,26,15,8,6,3,1,No,0.979733776,47154,0.980571338,0.385286019,0.377800427
1895,55,Divorced,Male,4,Technical Degree,2,33,Black Jack,3,41,3,9,2044,2048,3176,No,84570,322045,422850,7,18,40830,7,13,2,0,5,1,3,No,0.072800536,43740,0.072862772,0.357390899,0.026040492
1896,39,Divorced,Male,3,Technical Degree,4,50,Black Jack,2,80,4,10,2190,2406,5309,No,149646,149646,149646,7,25,39933,4,1,7,2,3,2,1,No,0.084094862,109713,0.084166754,0.89644325,0.075450718
1897,47,Divorced,Male,1,Technical Degree,2,8,Black Jack,3,37,3,1,1308,1886,5298,No,136493,270220,682465,5,15,29510,1,13,10,10,1,1,1,No,0.659519088,106983,0.660082903,0.874136959,0.577002861
1898,47,Divorced,Male,3,Technical Degree,4,34,Black Jack,4,92,1,9,2121,2290,5087,No,136440,321466,682200,6,20,75905,9,5,5,3,0,3,1,No,0.327985196,60535,0.328265586,0.494619527,0.162366569
1899,50,Divorced,Male,3,Technical Degree,1,40,Black Jack,1,64,1,0,2901,2037,4627,No,132591,226624,662955,5,13,48422,3,7,6,7,10,2,3,No,0.196998306,84169,0.197166717,0.687728272,0.135597126
1900,61,Divorced,Male,3,Technical Degree,4,28,Black Jack,2,84,5,7,2418,2991,5877,No,108133,318435,540665,2,13,76392,6,12,14,0,3,2,4,No,0.571628853,31741,0.572117532,0.259349441,0.148378362
1901,48,Divorced,Male,2,Technical Degree,4,22,Black Jack,3,35,6,7,1292,1275,3245,No,93495,348278,280485,1,13,52005,1,3,10,8,7,1,2,No,0.754025442,41490,0.754670049,0.339006594,0.255838123
1902,42,Divorced,Male,1,Technical Degree,3,14,Black Jack,2,93,4,10,1479,2457,3361,No,112727,206712,563635,0,12,28980,5,5,1,1,0,4,1,No,0.997977963,83747,0.998831122,0.684280193,0.683480353
1903,43,Divorced,Male,3,Technical Degree,2,27,Black Jack,2,95,4,1,2894,1057,4872,No,104364,301453,313092,6,6,54999,10,3,15,7,8,3,4,No,0.865685808,49365,0.866425872,0.403351663,0.349474317
1904,46,Divorced,Male,4,Technical Degree,4,28,Black Jack,4,31,5,2,1989,1135,4688,No,91554,183108,183108,0,22,46455,2,2,5,1,3,4,1,No,0.724441484,45099,0.7250608,0.36849502,0.267181294
1905,53,Divorced,Male,1,Technical Degree,4,44,Black Jack,1,71,10,1,1199,2748,5318,No,83467,273644,417335,2,3,36917,10,10,0,2,2,2,3,No,0.331726706,46550,0.332010296,0.380350854,0.1262804
1906,28,Divorced,Male,4,Technical Degree,4,3,Black Jack,2,69,1,1,2056,1627,6212,No,121718,223963,608590,5,16,48966,6,7,2,9,0,4,4,No,0.167099335,72752,0.167242186,0.59444222,0.099415817
1907,32,Divorced,Male,3,Technical Degree,3,9,Black Jack,3,91,1,3,2518,1799,5537,No,101524,214656,507620,5,22,40115,2,13,1,5,9,4,3,No,0.604109203,61409,0.604625648,0.501760808,0.303377454
1908,37,Divorced,Male,2,Technical Degree,3,3,Black Jack,4,63,8,2,1597,1514,4373,No,90406,222761,452030,5,4,26610,1,25,14,3,4,3,2,No,0.03572935,63796,0.035759895,0.521264513,0.018640364
1909,41,Divorced,Male,3,Technical Degree,3,4,Black Jack,1,39,9,4,1369,2382,5125,No,141940,228786,567760,5,25,37125,4,4,4,7,4,4,3,No,0.772474945,104815,0.773135324,0.856422659,0.66213061
1910,50,Divorced,Male,2,Technical Degree,2,39,Black Jack,4,92,9,2,2740,1997,6049,No,114578,222237,572890,2,20,71957,10,23,3,9,5,3,4,No,0.604440516,42621,0.604957245,0.348247771,0.210675012
1911,50,Divorced,Male,1,Technical Degree,3,23,Black Jack,3,62,1,1,1022,1999,5058,No,119082,283937,595410,4,20,80488,9,23,10,6,2,3,4,No,0.438642164,38594,0.439017154,0.31534395,0.138441403
1912,40,Divorced,Male,1,Technical Degree,1,9,Black Jack,2,91,10,9,2016,2900,4888,No,146180,202816,730900,6,7,77011,4,16,5,2,0,1,2,No,0.183545251,69169,0.183702162,0.565166235,0.103822259
1913,48,Divorced,Male,4,Technical Degree,4,2,Black Jack,2,39,5,10,1372,2915,5623,No,108452,307814,542260,5,25,77176,8,7,12,0,4,1,2,No,0.226884276,31276,0.227078237,0.255550018,0.058029847
1914,39,Divorced,Male,4,Technical Degree,1,40,Black Jack,2,43,9,8,1318,1896,3343,No,90437,90437,90437,4,9,62118,2,1,13,10,9,3,4,No,0.876825439,28319,0.877575026,0.231388955,0.203061168
1915,33,Divorced,Male,2,Technical Degree,5,12,Black Jack,3,61,7,1,2463,1194,5478,No,97591,340123,487955,4,9,78937,7,26,0,4,2,1,4,No,0.80264219,18654,0.803328359,0.152418149,0.122441822
1916,39,Divorced,Male,4,Technical Degree,1,30,Black Jack,1,94,7,4,2543,2627,4173,No,91625,218098,458125,7,2,43296,10,15,12,0,8,4,3,No,0.691453739,48329,0.692044855,0.394886712,0.273279317
1917,24,Divorced,Male,3,Technical Degree,5,20,Black Jack,4,56,1,9,2970,2157,5749,No,101464,332659,507320,6,24,75613,1,9,12,0,4,1,1,No,0.417473275,25851,0.417830168,0.211223414,0.088255515
1918,28,Divorced,Male,3,Technical Degree,2,41,Black Jack,2,72,3,5,1599,2811,5466,No,122526,200716,612630,1,12,73947,4,22,6,8,9,2,2,No,0.17981343,48579,0.17996715,0.396929412,0.071434255
1919,57,Divorced,Male,3,Technical Degree,4,41,Black Jack,2,25,1,6,2604,2022,3234,No,141098,202466,705490,7,3,34039,4,14,4,4,0,1,4,No,0.262325938,107059,0.262550197,0.87475794,0.22966787
1920,45,Divorced,Male,1,Technical Degree,5,12,Black Jack,3,69,6,10,2861,1395,3864,No,96783,96783,96783,6,14,70928,1,1,11,0,1,4,4,No,0.099508449,25855,0.099593518,0.211256097,0.021039738
1921,37,Divorced,Male,1,Technical Degree,1,22,Black Jack,1,58,7,7,2277,1206,4526,No,146328,342568,731640,4,22,47440,7,11,6,0,8,1,1,No,0.275356624,98888,0.275592023,0.807994313,0.222676787
1922,30,Divorced,Male,3,Technical Degree,3,41,Black Jack,1,93,6,6,2768,2468,3814,No,116414,307265,582070,7,9,67087,6,21,3,10,2,3,1,No,0.536956606,49327,0.537415643,0.403041173,0.216600631
1923,29,Divorced,Male,4,Technical Degree,4,36,Black Jack,3,62,5,6,1852,1161,5930,No,90293,243664,451465,2,4,65578,6,5,10,4,4,1,1,No,0.500171423,24715,0.500599013,0.201941383,0.101091657
1924,30,Divorced,Male,3,Technical Degree,3,40,Black Jack,3,37,9,3,2538,2218,5475,No,96237,231376,384948,4,22,67747,7,4,7,8,9,3,4,No,0.303493552,28490,0.303753005,0.232786162,0.070709496
1925,61,Divorced,Male,2,Technical Degree,2,40,Black Jack,3,64,4,3,2059,2641,5266,No,96716,238778,483580,0,0,38701,4,21,9,0,7,3,2,No,0.9196915,58015,0.920477734,0.474029104,0.436333236
1926,36,Divorced,Male,2,Technical Degree,3,30,Black Jack,2,84,6,9,2310,1755,4598,No,110092,220184,220184,3,5,26967,7,2,10,9,3,2,4,No,0.494544949,83125,0.494967729,0.679197954,0.336181069
1927,33,Divorced,Male,2,Technical Degree,3,30,Black Jack,4,72,2,6,1370,1891,3314,No,94793,291577,473965,7,0,33033,2,15,4,6,6,2,3,No,0.325618045,61760,0.325896412,0.50462876,0.164456702
1928,50,Divorced,Male,2,Technical Degree,2,12,Black Jack,2,29,7,9,2467,1620,4101,No,136064,278022,680320,4,17,30598,5,18,4,8,8,3,4,No,0.318032583,105466,0.318304466,0.861741852,0.274296279
1929,24,Divorced,Male,4,Technical Degree,5,9,Black Jack,2,92,8,7,1680,2567,3132,No,139294,218267,696470,1,13,67407,4,8,7,2,2,3,4,No,0.04407021,71887,0.044107885,0.587374476,0.025907846
1930,53,Divorced,Male,3,Technical Degree,5,18,Black Jack,3,31,7,6,2881,2209,4850,No,111239,263150,556195,5,13,82977,3,24,1,6,2,2,4,No,0.592544389,28262,0.593050948,0.230923219,0.136949234
1931,33,Divorced,Male,2,Technical Degree,5,48,Black Jack,2,36,2,1,1001,2175,4147,No,121560,282643,607800,3,25,35808,3,18,7,7,8,1,1,No,0.251818276,85752,0.252033552,0.700662652,0.176590497
1932,24,Divorced,Male,3,Technical Degree,1,7,Black Jack,2,94,8,7,2676,2402,4938,No,136604,235609,683020,1,21,69767,2,20,13,8,9,1,1,No,0.328875862,66837,0.329157014,0.546111924,0.17975657
1933,39,Divorced,Male,3,Technical Degree,4,31,Black Jack,3,39,10,10,1318,2011,6193,No,110363,326785,551815,4,13,73720,3,7,4,7,7,4,3,No,0.444116253,36643,0.444495923,0.299402714,0.133083286
1934,41,Divorced,Male,1,Technical Degree,1,8,Black Jack,2,81,4,10,1066,2630,4269,No,135895,238497,679475,0,4,79178,8,23,2,1,9,3,1,No,0.896114932,56717,0.89688101,0.463423403,0.41563565
1935,37,Divorced,Male,3,Technical Degree,4,6,Black Jack,2,54,3,4,2425,1101,5084,No,105881,343434,529405,7,13,44276,9,26,6,1,1,2,4,No,0.21626713,61605,0.216452014,0.503362285,0.10895378
1936,49,Divorced,Male,4,Technical Degree,4,11,Black Jack,1,74,1,0,1032,1375,5965,No,85032,248314,425160,6,22,72455,8,17,1,7,8,2,4,No,0.374392693,12577,0.374712757,0.102764182,0.03850705
1937,36,Divorced,Male,3,Technical Degree,2,45,Black Jack,3,54,4,4,2356,1765,4799,No,85795,276578,428975,1,13,67816,1,12,6,2,6,3,3,No,0.655327546,17979,0.655887778,0.146902857,0.096351789
1938,43,Divorced,Male,4,Technical Degree,3,19,Black Jack,3,45,5,0,2937,1812,3666,No,82420,218243,412100,2,22,40075,3,23,15,8,7,3,3,No,0.418843137,42345,0.419201201,0.34599263,0.145040526
1939,30,Divorced,Male,4,Technical Degree,1,24,Black Jack,4,76,3,10,2516,2240,4700,No,120055,347847,600275,0,21,31263,2,22,6,8,4,3,4,No,0.205441635,88792,0.205617265,0.725501892,0.149175715
1940,42,Divorced,Male,4,Technical Degree,4,34,Black Jack,4,36,3,0,1629,2348,5941,No,94017,204187,470085,3,23,78086,1,20,15,1,4,2,2,No,0.059865328,15931,0.059916506,0.130169054,0.007799275
1941,25,Divorced,Male,2,Technical Degree,5,7,Black Jack,4,35,3,2,2598,1705,3396,No,118293,343373,591465,2,10,51008,8,21,1,8,2,3,4,No,0.961350143,67285,0.96217199,0.549772443,0.528975646
1942,51,Divorced,Male,2,Technical Degree,3,20,Black Jack,3,79,3,0,2289,1556,5446,No,143043,280569,572172,3,22,50188,3,4,4,10,1,4,4,No,0.332345448,92855,0.332629566,0.758699862,0.252366006
1943,64,Divorced,Male,1,Technical Degree,3,1,Black Jack,4,34,5,9,1363,1986,4269,No,116558,211292,582790,6,2,65402,2,23,5,10,8,1,4,No,0.001393675,51156,0.001394866,0.41798557,5.83E-04
1944,47,Divorced,Male,1,Technical Degree,3,43,Black Jack,2,27,3,10,1489,1880,3616,No,147265,201779,736325,5,20,31594,4,12,8,10,6,1,1,No,0.866649562,115671,0.867390451,0.945124891,0.819792305
1945,59,Divorced,Male,1,Technical Degree,3,2,Black Jack,4,35,1,7,1946,2963,3931,No,136846,273692,273692,4,6,47101,9,2,7,8,3,3,1,No,0.275112976,89745,0.275348167,0.733288666,0.20190969
1946,27,Divorced,Male,1,Technical Degree,2,20,Black Jack,1,66,8,3,1470,2265,4470,No,99696,267374,498480,1,26,59638,6,26,13,7,6,2,2,No,0.016059142,40058,0.016072871,0.327306005,0.005260747
1947,65,Divorced,Male,4,Technical Degree,3,43,Black Jack,1,99,8,9,2338,2637,5862,No,105367,269310,526835,0,12,30474,6,13,11,3,1,3,1,No,0.37522748,74893,0.375548258,0.611935908,0.229811464
1948,53,Divorced,Male,4,Technical Degree,1,2,Black Jack,1,86,2,10,1403,1349,5963,No,81758,252856,408790,4,3,64291,1,13,12,3,2,4,3,No,0.761526189,17467,0.762177209,0.142719406,0.108777479
1949,52,Divorced,Male,2,Technical Degree,1,10,Black Jack,2,31,1,7,1412,2033,5976,No,83335,336275,416675,3,3,53698,1,16,5,7,0,3,4,No,0.179308714,29637,0.179462003,0.242158072,0.043458173
1950,25,Divorced,Male,1,Technical Degree,2,34,Black Jack,2,76,5,3,1728,1111,4223,No,140715,342971,703575,6,7,77880,7,18,0,9,8,1,1,No,0.259059535,62835,0.259281002,0.513412372,0.133118074
1951,48,Divorced,Male,4,Technical Degree,4,37,Black Jack,4,71,1,1,1545,1050,5605,No,86759,221260,433795,1,15,29830,9,10,9,4,9,1,2,No,0.0895876,56929,0.089664187,0.465155613,0.0417078
1952,26,Divorced,Male,3,Technical Degree,5,41,Black Jack,2,57,7,4,2094,2818,3316,No,145200,254870,726000,0,9,55976,10,16,6,2,4,1,4,No,0.816874334,89224,0.81757267,0.729031678,0.596036376
1953,36,Divorced,Male,4,Technical Degree,3,50,Black Jack,3,37,8,6,2150,2072,3123,No,96993,325042,484965,4,23,46228,5,11,10,0,9,3,1,No,0.387621965,50765,0.387953339,0.414790787,0.160919471
1954,61,Divorced,Male,1,Technical Degree,3,18,Black Jack,2,100,9,0,1396,1935,3318,No,100396,286784,501980,2,9,50402,2,13,6,6,6,1,3,No,0.956369402,49994,0.95718699,0.408491098,0.391002365
1955,37,Divorced,Male,1,Technical Degree,1,48,Black Jack,3,69,4,5,1997,1063,3475,No,143951,333216,575804,1,8,83032,4,4,11,9,3,4,3,No,0.990129932,60919,0.990976382,0.497757115,0.493265545
1956,48,Divorced,Male,2,Technical Degree,5,45,Black Jack,1,90,4,1,1107,1440,5915,No,147037,304595,735185,4,19,73753,4,15,1,7,0,2,4,No,0.471017383,73284,0.47142005,0.598789087,0.282281181
1957,43,Divorced,Male,4,Technical Degree,1,8,Black Jack,2,36,5,9,1515,1215,5018,No,128790,202808,643950,6,7,57887,4,5,6,5,6,3,2,No,0.993520331,70903,0.99436968,0.579334406,0.576072568
1958,63,Divorced,Male,2,Technical Degree,1,2,Black Jack,2,86,5,4,2945,2234,3296,No,115465,206225,577325,1,16,35107,2,8,0,5,1,2,2,No,0.265546491,80358,0.265773504,0.656589344,0.17450405
1959,23,Divorced,Male,4,Technical Degree,4,21,Black Jack,4,89,8,1,2785,1276,5335,No,146363,210737,731815,7,26,81132,1,14,4,2,3,3,3,No,0.187015916,65231,0.187175794,0.532989615,0.099762754
1960,28,Divorced,Male,1,Technical Degree,1,14,Black Jack,1,25,5,2,1363,1761,6040,No,81840,294239,409200,7,12,40575,5,15,3,4,7,1,2,No,0.701546473,41265,0.702146217,0.337168163,0.23674135
1961,59,Divorced,Male,1,Technical Degree,1,49,Black Jack,1,92,2,10,2497,2676,5882,No,132419,331335,662095,5,8,75655,2,13,0,2,8,2,2,No,0.477428367,56764,0.477836515,0.463807431,0.221624126
1962,40,Divorced,Male,1,Technical Degree,2,48,Black Jack,2,52,1,2,1016,2313,6156,No,81323,227402,406615,2,22,33384,5,26,6,4,0,4,3,No,0.018920704,47939,0.018936879,0.391700099,0.007417577
1963,61,Divorced,Male,3,Technical Degree,3,48,Black Jack,3,82,8,10,1887,1500,3721,No,85197,85197,85197,7,24,74127,6,1,11,7,10,1,1,No,0.463213919,11070,0.463609915,0.090450783,0.04193388
1964,35,Divorced,Male,2,Technical Degree,3,46,Black Jack,3,37,7,6,1262,1389,4794,No,98776,302811,493880,0,8,65796,9,25,2,4,1,1,3,No,0.417506115,32980,0.417863036,0.269473065,0.112602833
1965,54,Divorced,Male,1,Technical Degree,4,2,Black Jack,1,29,5,3,1969,1211,4864,No,105016,239879,525080,5,20,32934,1,14,2,2,7,3,3,No,0.406945804,72082,0.407293697,0.588967783,0.239882866
1966,23,Divorced,Male,2,Technical Degree,5,21,Black Jack,2,70,2,7,1981,2517,4526,No,138718,303786,693590,3,1,37773,6,15,1,1,9,3,2,No,0.565964947,100945,0.566448784,0.824801654,0.467207894
1967,50,Divorced,Male,3,Technical Degree,4,28,Black Jack,3,38,3,9,1296,1661,3825,No,123730,211460,618650,6,22,52628,9,19,14,6,7,2,2,No,0.578569123,71102,0.579063735,0.580960396,0.336413097
1968,61,Divorced,Male,4,Technical Degree,2,32,Black Jack,3,79,1,10,1557,2205,3835,No,146819,316060,734095,7,13,61135,8,19,11,1,7,2,4,No,0.765334534,85684,0.765988809,0.700107038,0.536274156
1969,51,Divorced,Male,1,Technical Degree,1,11,Black Jack,3,77,9,10,2664,2256,3984,No,108099,108099,108099,3,5,51879,2,1,11,1,4,2,2,No,0.212033815,56220,0.21221508,0.459362514,0.097483653
1970,65,Divorced,Male,2,Technical Degree,1,43,Black Jack,1,25,9,2,2435,2516,3591,No,138944,282882,694720,7,17,83870,3,14,5,6,1,2,4,No,0.435087893,55074,0.435459844,0.449998774,0.195956396
1971,62,Divorced,Male,1,Technical Degree,5,6,Black Jack,2,70,9,9,2519,1370,3753,No,84451,301588,422255,5,23,83162,8,23,10,7,6,3,1,No,0.992567402,1289,0.993415936,0.010532164,0.01046282
1972,45,Divorced,Male,2,Technical Degree,5,27,Black Jack,3,97,9,5,2036,1081,4576,No,149049,224343,745245,4,11,38393,10,7,10,2,4,4,2,No,0.17111729,110656,0.171263576,0.904148316,0.154847674
1973,64,Divorced,Male,1,Technical Degree,5,30,Black Jack,3,56,1,3,1947,1257,6001,No,144009,333796,720045,0,26,80897,6,6,8,9,9,3,3,No,0.814260003,63112,0.814956104,0.515675685,0.420253047
1974,32,Divorced,Male,3,Technical Degree,4,12,Black Jack,3,89,10,0,2541,1708,5412,No,110441,226816,552205,1,22,58877,2,26,10,10,4,3,2,No,0.625337182,51564,0.625871775,0.421319258,0.263691832
1975,34,Divorced,Male,1,Technical Degree,2,23,Black Jack,3,96,3,0,2699,2213,4454,No,112187,220696,560935,7,23,75459,2,26,6,7,1,4,4,No,0.738375568,36728,0.739006796,0.300097233,0.221773894
1976,24,Divorced,Male,2,Technical Degree,2,35,Black Jack,2,61,9,8,2258,2235,3947,No,114844,257821,574220,4,10,50540,5,20,1,3,10,3,2,No,0.497167278,64304,0.497592301,0.525415281,0.261442598
1977,44,Divorced,Male,4,Technical Degree,5,28,Black Jack,3,41,10,4,1952,1161,4077,No,108432,241357,542160,4,10,68247,8,19,0,9,5,3,3,No,0.279742159,40185,0.279981307,0.328343697,0.091930097
1978,45,Divorced,Male,2,Technical Degree,3,26,Black Jack,4,67,9,8,1967,1002,3776,No,116895,292992,584475,7,4,69228,9,25,8,9,6,1,4,No,0.363297827,47667,0.363608406,0.389477641,0.141617344
1979,34,Divorced,Male,1,Technical Degree,1,27,Black Jack,4,29,2,1,1674,1586,3585,No,92895,327468,464475,5,16,74982,2,17,11,1,9,1,3,No,0.037208528,17913,0.037240337,0.146363584,0.005450629
1980,63,Divorced,Male,4,Technical Degree,2,27,Black Jack,2,78,4,0,1955,2527,5639,No,126316,311929,631580,2,2,77242,10,18,15,5,5,1,3,No,0.023217942,49074,0.02323779,0.40097396,0.009317749
1981,58,Divorced,Male,3,Technical Degree,2,15,Black Jack,1,44,3,2,1579,2081,4975,No,107266,262268,536330,4,24,68199,1,17,2,10,6,1,2,No,0.340652178,39067,0.340943397,0.319208739,0.108832112
1982,58,Divorced,Male,3,Technical Degree,4,29,Black Jack,3,94,4,1,2198,1350,4851,No,81595,329147,407975,3,6,39233,1,12,14,2,5,2,4,No,0.80867967,42362,0.809371001,0.346131534,0.280148826
1983,40,Divorced,Male,3,Technical Degree,4,40,Black Jack,3,62,10,5,1481,2477,5131,No,85581,283020,427905,5,8,61091,3,26,6,10,3,1,3,No,0.519170173,24490,0.519614005,0.200102952,0.103976296
1984,38,Divorced,Male,4,Technical Degree,5,11,Black Jack,2,67,5,10,2414,1619,5592,No,114770,268039,573850,0,15,70275,5,23,8,4,7,4,1,No,0.39090502,44495,0.3912392,0.363559855,0.142238867
1985,52,Divorced,Male,1,Technical Degree,5,6,Black Jack,4,87,7,4,2753,2541,3167,No,123395,204637,616975,0,6,40274,7,15,8,0,3,1,2,No,0.086990873,83121,0.08706524,0.679165271,0.059131688
1986,59,Divorced,Male,2,Technical Degree,2,29,Black Jack,2,70,4,0,2849,1139,4005,No,101884,285246,509420,5,22,65559,3,6,14,7,4,4,4,No,0.226563631,36325,0.226757318,0.296804399,0.067302569
1987,24,Divorced,Male,1,Technical Degree,5,3,Black Jack,4,50,1,6,2967,2693,4800,No,126615,297975,633075,4,20,48090,6,26,3,10,1,3,1,No,0.190352439,78525,0.190515169,0.641612263,0.122236868
1988,38,Divorced,Male,3,Technical Degree,5,6,Black Jack,4,43,7,9,1708,1143,5866,No,126668,291209,633340,7,2,70089,5,19,10,7,3,1,4,No,0.725777679,56579,0.726398138,0.462295832,0.335810832
1989,47,Divorced,Male,1,Technical Degree,2,32,Black Jack,1,60,4,5,1266,2059,5469,No,119533,316999,597665,7,3,44465,7,11,3,1,2,1,2,No,0.041903908,75068,0.041939731,0.613365799,0.025724397
1990,23,Divorced,Male,4,Technical Degree,2,26,Black Jack,1,85,5,1,1764,2578,3692,No,85523,255770,256569,3,3,80191,2,3,13,0,8,4,2,No,0.647553775,5332,0.648107361,0.043566719,0.028235911
1991,57,Divorced,Male,2,Technical Degree,1,36,Black Jack,1,55,8,6,2546,1746,4102,No,83813,325933,419065,1,17,33854,1,12,4,3,1,2,3,No,0.622442029,49959,0.622974147,0.40820512,0.254301236
1992,30,Divorced,Male,2,Technical Degree,2,6,Black Jack,3,95,8,10,2430,1371,3675,No,122697,268464,613485,7,6,39704,3,23,7,6,10,1,2,No,0.54965793,82993,0.550127826,0.678119408,0.373052356
1993,32,Divorced,Male,4,Technical Degree,4,28,Black Jack,4,59,10,6,1948,2475,5106,No,94482,214192,472410,0,11,44438,2,18,12,5,8,4,1,No,0.289186331,50044,0.289433553,0.408899638,0.118349275
1994,41,Divorced,Male,1,Technical Degree,3,22,Black Jack,2,74,10,8,2086,2927,3372,No,102649,201887,307947,7,13,56090,1,3,13,9,8,1,1,No,0.25017495,46559,0.250388822,0.380424391,0.095254015
1995,65,Divorced,Male,4,Technical Degree,2,41,Black Jack,3,76,7,7,2735,1398,5660,No,119516,314977,597580,0,19,62039,4,23,15,4,9,2,2,No,0.696126706,57477,0.696721816,0.469633213,0.327203705
1996,33,Divorced,Male,3,Technical Degree,3,8,Black Jack,4,33,6,6,2450,1709,4137,No,86592,209861,432960,4,20,77910,4,24,6,9,5,3,1,No,0.421254953,8682,0.421615078,0.070938907,0.029908913
1997,58,Divorced,Male,1,Technical Degree,4,37,Black Jack,1,30,4,4,2918,2517,5175,No,100626,322822,503130,2,18,65099,10,14,2,0,2,4,4,No,0.544591272,35527,0.545056837,0.290284099,0.158221333
1998,41,Divorced,Male,3,Technical Degree,1,4,Black Jack,1,57,10,8,1832,2284,3800,No,144910,235386,724550,6,6,50401,9,21,1,2,0,2,1,No,0.56167126,94509,0.562151427,0.772214369,0.434101409
1999,48,Divorced,Male,3,Technical Degree,4,6,Black Jack,4,58,3,1,2170,2836,4254,No,104246,236454,521230,6,25,82637,5,23,9,9,0,2,4,No,0.664998966,21609,0.665567466,0.17656287,0.117514502
2000,36,Divorced,Male,2,Technical Degree,3,31,Black Jack,3,71,10,7,2393,2978,5440,No,136355,215322,681775,0,13,65010,2,22,10,4,9,3,4,No,0.712632972,71345,0.713242193,0.582945901,0.415781613
